ensemble	scenario	struct	rank	stage	acc_sr	med_sr	high_sr
IBMu	loose	u	1	flex	0.175	0.05	0.0
IBMu	loose	u	10	flex	0.425	0.2	0.0
IBMu	loose	u	200	flex	0.775	0.275	0.0
IBMu	loose	u	1	emref	0.2	0.05	0.0
IBMu	loose	u	10	emref	0.35	0.175	0.0
IBMu	loose	u	200	emref	0.775	0.275	0.0
IBMu	twohit	u	1	rigid	0.15	0.05	0.0
IBMu	twohit	u	10	rigid	0.325	0.125	0.0
IBMu	twohit	u	200	rigid	0.675	0.25	0.0
IBMu	twohit	u	1	flex	0.175	0.075	0.0
IBMu	twohit	u	10	flex	0.45	0.175	0.0
IBMu	twohit	u	200	flex	0.675	0.375	0.0
IBMu	twohit	u	1	emref	0.2	0.075	0.0
IBMu	twohit	u	10	emref	0.425	0.175	0.0
IBMu	twohit	u	200	emref	0.675	0.35	0.0
IB	real	u	1	rigid	0.275	0.025	0.0
IB	real	u	10	rigid	0.625	0.05	0.025
IB	real	u	200	rigid	0.9	0.275	0.025
IB	real	u	1	flex	0.325	0.1	0.025
IB	real	u	10	flex	0.625	0.175	0.025
IB	real	u	200	flex	0.9	0.5	0.025
IB	real	u	1	emref	0.275	0.05	0.0
IB	real	u	10	emref	0.725	0.175	0.025
IB	real	u	200	emref	0.9	0.5	0.025
IBMu	mix-loose	u	1	rigid	0.225	0.1	0.0
IBMu	mix-loose	u	10	rigid	0.3	0.1	0.0
IBMu	mix-loose	u	200	rigid	0.875	0.3	0.0
IBMu	mix-loose	u	1	flex	0.125	0.05	0.0
IBMu	mix-loose	u	10	flex	0.425	0.2	0.0
IBMu	mix-loose	u	200	flex	0.85	0.375	0.0
IBMu	mix-loose	u	1	emref	0.05	0.025	0.0
IBMu	mix-loose	u	10	emref	0.4	0.175	0.0
IBMu	mix-loose	u	200	emref	0.85	0.375	0.0
IBMu	surf	b	1	rigid	0.1	0.075	0.05
IBMu	surf	b	10	rigid	0.25	0.15	0.075
IBMu	surf	b	200	rigid	0.475	0.275	0.15
IBMu	surf	b	1	flex	0.075	0.05	0.05
IBMu	surf	b	10	flex	0.2	0.15	0.125
IBMu	surf	b	200	flex	0.375	0.25	0.125
IBMu	surf	b	1	emref	0.05	0.05	0.025
IBMu	surf	b	10	emref	0.125	0.075	0.05
IBMu	surf	b	200	emref	0.325	0.25	0.1
IBMu	loose	u	1	emref-voro	0.25	0.1	0.0
IBMu	loose	u	10	emref-voro	0.375	0.15	0.0
IBMu	loose	u	200	emref-voro	0.6	0.225	0.0
IBMu	real	u	1	emref-voro	0.625	0.325	0.025
IBMu	real	u	10	emref-voro	0.775	0.4	0.05
IBMu	real	u	200	emref-voro	0.925	0.7	0.175
IBMu	twohit	u	1	emref-voro	0.15	0.1	0.0
IBMu	twohit	u	10	emref-voro	0.25	0.15	0.0
IBMu	twohit	u	200	emref-voro	0.45	0.275	0.0
