scenario	antigen	bin	freq	min	max	median	n
Loose	bound	0.35	0.0009737098344693282	-0.327	0.49999999999999994	0.040000000000000036	1027
Loose	unbound	0.35	0.0	-0.34099999999999997	0.472	0.06350000000000001	860
Loose	bound	0.4	0.0009737098344693282	-0.327	0.49999999999999994	0.040000000000000036	1027
Loose	unbound	0.4	0.0011627906976744186	-0.34099999999999997	0.472	0.06350000000000001	860
Loose	bound	0.45	0.0009737098344693282	-0.327	0.49999999999999994	0.040000000000000036	1027
Loose	unbound	0.45	0.0011627906976744186	-0.34099999999999997	0.472	0.06350000000000001	860
Loose	bound	0.5	0.0	-0.327	0.49999999999999994	0.040000000000000036	1027
Loose	unbound	0.5	0.0	-0.34099999999999997	0.472	0.06350000000000001	860
Loose	bound	0.55	0.0	-0.327	0.49999999999999994	0.040000000000000036	1027
Loose	unbound	0.55	0.0	-0.34099999999999997	0.472	0.06350000000000001	860
Loose	bound	0.6	0.0	-0.327	0.49999999999999994	0.040000000000000036	1027
Loose	unbound	0.6	0.0	-0.34099999999999997	0.472	0.06350000000000001	860
Loose	bound	0.65	0.0	-0.327	0.49999999999999994	0.040000000000000036	1027
Loose	unbound	0.65	0.0	-0.34099999999999997	0.472	0.06350000000000001	860
Loose	bound	0.7	0.0	-0.327	0.49999999999999994	0.040000000000000036	1027
Loose	unbound	0.7	0.0	-0.34099999999999997	0.472	0.06350000000000001	860
Loose	bound	0.75	0.0	-0.327	0.49999999999999994	0.040000000000000036	1027
Loose	unbound	0.75	0.0	-0.34099999999999997	0.472	0.06350000000000001	860
Loose	bound	0.8	0.0	-0.327	0.49999999999999994	0.040000000000000036	1027
Loose	unbound	0.8	0.0	-0.34099999999999997	0.472	0.06350000000000001	860
Loose	bound	0.85	0.0	-0.327	0.49999999999999994	0.040000000000000036	1027
Loose	unbound	0.85	0.0	-0.34099999999999997	0.472	0.06350000000000001	860
Loose	bound	0.9	0.0	-0.327	0.49999999999999994	0.040000000000000036	1027
Loose	unbound	0.9	0.0	-0.34099999999999997	0.472	0.06350000000000001	860
Loose	bound	0.95	0.0	-0.327	0.49999999999999994	0.040000000000000036	1027
Loose	unbound	0.95	0.0	-0.34099999999999997	0.472	0.06350000000000001	860
Loose	bound	1.0	0.0	-0.327	0.49999999999999994	0.040000000000000036	1027
Loose	unbound	1.0	0.0	-0.34099999999999997	0.472	0.06350000000000001	860
Two-hit	bound	-1.0	0.0	-0.27299999999999996	0.43900000000000006	0.04800000000000004	840
